pmid	year	title	journal	affiliation	country
27757782	2016	Identification of candidate biomarkers and analysis of prognostic values in ovarian cancer by integrated bioinformatics analysis.	Medical oncology (Northwood, London, England)	Department of Biomedical Engineering, School of Basic Medical Sciences, Wuhan University, 185 Donghu Road, Wuhan, 430071, Hubei, People's Republic of China.	United States
27208688	2016	Analysis of the functional aspects and seminal plasma proteomic profile of sperm from smokers.	BJU international	Department of Surgery, Division of Urology, Human Reproduction Section, Sao Paulo Federal University, Sao Paulo, Brazil.	England
27738870	2016	Differentially Expressed Long Non-Coding RNAs Were Predicted to Be Involved in the Control of Signaling Pathways in Pediatric Astrocytoma.	Molecular neurobiology	Functional Genomics Laboratory, Unit of Human Genetics Research, Children's Hospital, &quot;Dr. Silvestre Frenk Freund,&quot; National Medical Center Century XXI, Mexican Institute of Social Security (IMSS), 06720, Mexico City, Mexico.	United States
27716259	2016	Microarray data analysis to identify crucial genes regulated by CEBPB in human SNB19 glioma cells.	World journal of surgical oncology	Department of Neurosurgery, The Affiliated Hospital of Inner Mongolia University for the Nationalities, Huolinhe Street No.1742, Tongliao, Inner Mongolia, 028007, China. ChenghuaDuchd@163.com.	England
27711182	2016	Genome-Wide Identification and Characterization of MicroRNAs and Target Genes in Lonicera japonica.	PloS one	College of Life Science and Technology, Huazhong University of Science and Technology, Wuhan, Hubei 430074, China.	United States
27708692	2016	In silico profiling for secondary metabolites from Lepidium meyenii (maca) by the pharmacophore and ligand-shape-based joint approach.	Chinese medicine	Institute of Medicinal Plant Development, Chinese Academy of Medical Sciences, Peking Union Medical College, 151 Malianwa N, Haidian District, Beijing, 100193 China ; Key Laboratory of Bioactive Substances and Resources Utilization of Chinese Herbal Medicine, Ministry of Education, Beijing, 100193 China.	England
27698802	2016	Identification of genes involved in Epstein-Barr virus-associated nasopharyngeal carcinoma.	Oncology letters	Department of Otolaryngology-Head and Neck Surgery, Drum Tower Clinical Medical College of Nanjing Medical University, Nanjing, Jiangsu 210008, P.R. China; Department of Otolaryngology-Head and Neck Surgery, Nanjing Drum Tower Hospital Affiliated to Nanjing University Medical School, Nanjing, Jiangsu 210008, P.R. China.	Greece
27698798	2016	Celecoxib exhibits an anti-gastric cancer effect by targeting focal adhesion and leukocyte transendothelial migration-associated genes.	Oncology letters	Department of Gastroenterology, The First Hospital of Jilin University, Changchun, Jilin 130021, P.R. China.	Greece
27698747	2016	Co-expressed differentially expressed genes and long non-coding RNAs involved in the celecoxib treatment of gastric cancer: An RNA sequencing analysis.	Experimental and therapeutic medicine	Department of Gastrointestinal Surgery, China-Japan Union Hospital, Jilin University, Changchun, Jilin 130033, P.R. China.	Greece
27682024	2016	Bioinformatics analysis of gene expression profile data to screen key genes involved in pulmonary sarcoidosis.	Gene	Infections Department, China-Japan Union Hospital, Jilin University, Changchun, 130033, China.	Netherlands
27667790	2016	cMapper: gene-centric connectivity mapper for EBI-RDF platform.	Bioinformatics (Oxford, England)	Department of Biomedical Engineering, College of Medicine, University of Ulsan, Asan Medical Center, Seoul, Republic of Korea.	England
27655333	2016	Identification potential biomarkers in pulmonary tuberculosis and latent infection based on bioinformatics analysis.	BMC infectious diseases	Nanlou Respiratory Diseases Department, Chinese PLA General Hospital, No. 28, Fuxing Road, Beijing, 100853, China.	England
27634459	2016	Systematic network assessment of the carcinogenic activities of cadmium.	Toxicology and applied pharmacology	Key Laboratory of Food Safety Research, Institute for Nutritional Sciences, Shanghai Institutes for Biological Sciences, Chinese Academy of Sciences, Shanghai, China.	United States
27621916	2016	Two-Way Gene Interaction From Microarray Data Based on Correlation Methods.	Iranian Red Crescent medical journal	Department of Biostatistics, School of Paramedical Sciences, Shahid Beheshti University of Medical Sciences, Tehran, IR Iran.	United Arab Emirates
27613243	2016	Crucial genes associated with diabetic nephropathy explored by microarray analysis.	BMC nephrology	Department of Nephrology, Linyi People's Hospital, No.27 Jiefang Road, Lanshan District, Linyi, Shandong, 276003, China.	England
27610375	2016	Integrated Analysis of DNA Methylation and mRNA Expression Profiles Data to Identify Key Genes in Lung Adenocarcinoma.	BioMed research international	Department of Respiration, The First Hospital of Jilin University, Changchun 130021, China.	United States
27602130	2016	Hsa-miR-137, hsa-miR-520e and hsa-miR-590-3p perform crucial roles in Lynch syndrome.	Oncology letters	Digest Department, China-Japan Union Hospital of Jilin University, Changchun, Jilin 130033, P.R. China.	Greece
27599581	2016	Bioinformatics analysis of gene expression profiles of dermatomyositis.	Molecular medicine reports	Department of Clinical Genetics and Experimental Medicine, Fuzong Clinical School, Fujian Medical University, Fuzhou, Fujian 350025, P.R. China.	Greece
27599550	2016	Identification of key player genes in gene regulatory networks.	BMC systems biology	Center for Bioinformatics, Saarland University, Saarbruecken, Germany.	England
27595129	2016	Interaction network and mass spectrometry data of Xanthomonas citri subsp. citri surface proteins from differential proteomic analysis of infectious and non-infectious cells.	Data in brief	Laboratório de Bioquímica e Biologia Molecular Aplicada- LBBMA, Departamento de Genética e Evolução, Universidade Federal de São Carlos, UFSCar, São Carlos, SP, Brazil.	Netherlands
27587986	2016	Arthrogryposis as a Syndrome: Gene Ontology Analysis.	Molecular syndromology	Departments of a Medical Genetics, University of British Columbia and BC Children's Hospital, Vancouver, B.C., Canada; Departments of Pediatrics, University of British Columbia and BC Children's Hospital, Vancouver, B.C., Canada.	Switzerland
27586009	2016	InteGO2: a web tool for measuring and visualizing gene semantic similarities using Gene Ontology.	BMC genomics	School of Computer Science, Northwestern Polytechnical University, Xi'an, China.	United States
27581154	2016	Identification of key pathways and genes in colorectal cancer using bioinformatics analysis.	Medical oncology (Northwood, London, England)	Department of Bioinformatics, Key Laboratory of Cell Biology, Ministry of Public Health and Key Laboratory of Medical Cell Biology, Ministry of Education, College of Basic Medical Science, China Medical University, No. 77, Puhe Road, Shenyang North New Area, Shenyang, 110122, Liaoning, People's Republic of China. bliang@cmu.edu.cn.	United States
27559157	2016	PhenomeScape: a cytoscape app to identify differentially regulated sub-networks using known disease associations.	Bioinformatics (Oxford, England)	Faculty of Biology, Medicine and Health, University of Manchester, Manchester M13 9PT, UK.	England
27531214	2016	Cross-species Conservation of context-specific networks.	BMC systems biology	Institute for Informatics, Ludwig-Maximilians-Universität München, Amalienstrasse 17, München, Germany. robert.pesch@bio.ifi.lmu.de.	England
27524402	2016	Using network analysis to discern compositional patterns in ultrahigh-resolution mass spectrometry data of dissolved organic matter.	Rapid communications in mass spectrometry : RCM	Woods Hole Oceanographic Institution, Marine Chemistry and Geochemistry, Woods Hole, MA, 02543, USA. klongnecker@whoi.edu.	England
27516065	2016	Identification of conserved and novel microRNAs in Porphyridium purpureum via deep sequencing and bioinformatics.	BMC genomics	School of Life Science, Shanxi University, Taiyuan, 030006, China.	England
27503052	2016	In silico modeling for tumor growth visualization.	BMC systems biology	Holzinger Group, Research Unit HCI-KDD, Institute for Medical Informatics, Statistics and Documentation, Medical University Graz, Auenbruggerplatz 2/V, 8036, AT, Graz, Austria.	England
27497640	2016	The effects of Qi Teng Xiao Zhuo granules, traditional Chinese medicine, on the expression of genes in chronic glomerulonephritis rats.	Journal of ethnopharmacology	Department of Pharmacy, The First Affiliated Hospital of Anhui University of Chinese Medicine, 117 Meishan Road, Hefei 230031, China. Electronic address: zyfygjr2006@163.com.	Ireland
27487266	2016	Network ethnopharmacological evaluation of the immunomodulatory activity of Withania somnifera.	Journal of ethnopharmacology	Bioprospecting Laboratory, Interdisciplinary School of Health Sciences, Savitribai Phule Pune University, Pune 411 007, India.	Ireland
27482299	2016	Effect of a diet enriched with omega-6 and omega-3 fatty acids on the pig liver transcriptome.	Genes &amp; nutrition	Institute of Genetics and Animal Breeding, Polish Academy of Science, Jastrzębiec, Poland.	Germany
27466623	2016	NCMine: Core-peripheral based functional module detection using near-clique mining.	Bioinformatics (Oxford, England)	Graduate School of Information Sciences, Tohoku University, Sendai, Japan.	England
27456030	2016	Bioinformatics exploration of PAK1 (P21-activated kinase-1) revealed potential network gene elements in breast invasive carcinoma.	Journal of biomolecular structure &amp; dynamics	a Biomedical Informatics Centre , Vector Control Research Centre (VCRC)-ICMR , Pondicherry 605006 , India.	England
27452039	2016	Mechanisms of CCl4-induced liver fibrosis with combined transcriptomic and proteomic analysis.	The Journal of toxicological sciences	Research Center for Traditional Chinese Medicine Complexity System, Shanghai University of Traditional Chinese Medicine, China.	Japan
27450445	2016	Gene expression profile after activation of RIG-I in 5'ppp-dsRNA challenged DF1.	Developmental and comparative immunology	The Key Laboratory of Animal Genetics and Breeding and Molecular Design of Jiangsu Province, Yangzhou University, Yangzhou 225009, PR China.	United States
27446427	2016	Identification of key target genes and pathways in laryngeal carcinoma.	Oncology letters	Department of Otorhinolaryngology, West China School of Medicine, West China Hospital, Sichuan University, Chengdu, Sichuan 610041, P.R. China.	Greece
27446297	2016	Investigation of the molecular mechanisms underlying metastasis in prostate cancer by gene expression profiling.	Experimental and therapeutic medicine	Department of Urology, Renmin Hospital of Wuhan University, Wuhan, Hubei 430060, P.R. China.	Greece
27442190	2016	Gene Expression Profile of Extracellular Matrix and Adhesion Molecules in the Human Normal Corneal Stroma.	Current eye research	a Wilmer Eye Institute , Johns Hopkins University School of Medicine , Baltimore , MD , USA.	England
27423718	2016	Comparison of Pathogenic Mechanisms Underlying Single and Recurrent Venous Thromboembolism Based on Gene Expression Profiling.	Annals of vascular surgery	Department of Vascular and Lymphatic Surgery, Vascular and Lymphatic Surgery, China Japan Union Hospital of Jilin University, Changchun, Jilin, PR China.	Netherlands
27420970	2016	Identifying significant pathways of hepatitis B virus-related hepatocellular carcinoma based on crosstalk and network pathways.	Genetics and molecular research : GMR	Department of Hepatobiliary, Pancreatic and Splenic Surgery, Clinical College, Inner Mongolia People's Hospital, Inner Mongolia Medical University, Hohhot City, Inner Mongolia, China.	Brazil
27414486	2016	A five-gene expression signature to predict progression in T1G3 bladder cancer.	European journal of cancer (Oxford, England : 1990)	Department of Urology, Radboud University Medical Center, Nijmegen, The Netherlands. Electronic address: Toine.vanderHeijden@radboudumc.nl.	England
27405725	2016	Identification of candidate genes for myeloma-induced osteocyte death based on microarray data.	Journal of orthopaedic surgery and research	Department of Orthopaedics, Qilu Hospital of Shandong University, No. 42 Wenhua West Road, Jinan, 250012, China. tianhongldhdh@hotmail.com.	England
27402693	2016	PetriScape - A plugin for discrete Petri net simulations in Cytoscape.	Journal of integrative bioinformatics	NA	Germany
27396555	2016	Bioinformatic Analysis of Genes and MicroRNAs Associated With Atrioventricular Septal Defect in Down Syndrome Patients.	International heart journal	Department of Cardiology, Jinan Central Hospital Affiliated to Shandong University.	Japan
27383706	2016	Liver proteome of mice with different genetic susceptibilities to the effects of fluoride.	Journal of applied oral science : revista FOB	NA	Brazil
27356888	2016	Screening of gene signatures for rheumatoid arthritis and osteoarthritis based on bioinformatics analysis.	Molecular medicine reports	Department of Joint Surgery, The First Affiliated Hospital of Sun Yat‑sen University, Guangzhou, Guangdong 510080, P.R. China.	Greece
27356390	2016	[Mechanism Study on Danggui Shaoyao San and Guizhi Fuling Wan For Treating Primary Dysmenorrheal Based on Biological Network].	Zhong yao cai = Zhongyaocai = Journal of Chinese medicinal materials	NA	China
27354160	2016	BioNSi: A Discrete Biological Network Simulator Tool.	Journal of proteome research	Blavatnik School of Computer Science, and ‡Department of Neurobiology, George S. Wise Faculty of Life Sciences and Sagol School of Neuroscience, Tel Aviv University , Tel Aviv, Israel.	United States
27347378	2016	CyLineUp: A Cytoscape app for visualizing data in network small multiples.	F1000Research	Wageningen Seed Lab, Laboratory of Plant Physiology, Wageningen University, Wageningen, Netherlands.	England
27347171	2016	Investigation of potential molecular biomarkers and small molecule drugs for hepatocellular carcinoma transformed from cirrhosis.	Oncology letters	Department of Nuclear Medicine, The People's Hospital of Liaoning, Shenyang, Liaoning 110016, P.R. China.	Greece
27347159	2016	Gene expression profiling analysis of ovarian cancer.	Oncology letters	Key Lab of Zoonosis Research, Ministry of Education, The Second Hospital of Jilin University, Changchun, Jilin 130041, P.R. China.	Greece
27347057	2016	Regulatory mechanisms underlying sepsis progression in patients with tumor necrosis factor-α genetic variations.	Experimental and therapeutic medicine	Emergency Trauma Department, Shanghai East Hospital, Shanghai 200120, P.R. China.	Greece
27343766	2016	Phenotyping hepatocellular metabolism using uniformly labeled carbon-13 molecular probes and LC-HRMS stable isotope tracing.	Analytical biochemistry	Department of Pharmacokinetics, Dynamics and Metabolism, Pfizer, Inc., 558 Eastern Point Road, Groton, CT 06340, USA.	United States
27331400	2016	An Integrative Transcriptomic Analysis for Identifying Novel Target Genes Corresponding to Severity Spectrum in Spinal Muscular Atrophy.	PloS one	Department of Biomedical Engineering and Environmental Sciences, National Tsing Hua University, Hsinchu, Taiwan.	United States
27323086	2016	Construction of a protein-protein interaction network of Wilms' tumor and pathway prediction of molecular complexes.	Genetics and molecular research : GMR	Shanghai Municipal Hospital of Traditional Chinese Medicine, Affiliated with Shanghai University of Traditional Chinese Medicine, Shanghai, China.	Brazil
27313588	2016	Comparative Proteomic Analysis of the Response of Maize (Zea mays L.) Leaves to Long Photoperiod Condition.	Frontiers in plant science	Henan Agricultural University and Synergetic Innovation Center of Henan Grain CropsZhengzhou, China; Key Laboratory of Physiological Ecology and Genetic Improvement of Food Crops in Henan ProvinceZhengzhou, China.	Switzerland
27294188	2016	System Review about Function Role of ESCC Driver Gene KDM6A by Network Biology Approach.	TheScientificWorldJournal	Department of Biochemistry and Molecular Biology, School of Basic Medicine, Xinjiang Medical University, 393 Xinyi Road, Urumqi, Xinjiang 830054, China; Clinical Laboratory Diagnosis Center of PLA, Urumqi General Hospital, 359 Youhao Road, Urumqi, Xinjiang 830054, China.	United States
27284354	2016	Identification of nondiabetic heart failure-associated genes by bioinformatics approaches in patients with dilated ischemic cardiomyopathy.	Experimental and therapeutic medicine	Department of Cardiology, Jinan No. 4 People's Hospital, Jinan, Shandong 250031, P.R. China.	Greece
27284300	2016	Differential co-expression analysis of venous thromboembolism based on gene expression profile data.	Experimental and therapeutic medicine	Department of Intervention Radiology, The Second Affiliated Hospital, Nantong University, Nantong, Jiangsu 226001, P.R. China; Department of Vascular Surgery, The Second Affiliated Hospital, Soochow University, Suzhou, Jiangsu 215004, P.R. China.	Greece
27278879	2016	Exosome-derived microRNAs contribute to prostate cancer chemoresistance.	International journal of oncology	Key Laboratory of Longevity and Aging-Related Diseases, Ministry of Education, Nanning, Guangxi, P.R. China.	Greece
27262796	2016	Mapping of protein-protein interaction network of Alexander disease.	Cellular and molecular biology (Noisy-le-Grand, France)	D.A.V. College Department of Zoology Kanpur (U.P.) India.	France
27247549	2016	Identification of differentially expressed genes associated with the enhancement of X-ray susceptibility by RITA in a hypopharyngeal squamous cell carcinoma cell line (FaDu).	Radiology and oncology	Department of Radiation Oncology, The Third Affiliated Hospital of Harbin Medical University, Harbin, China.	Slovenia
27222482	2016	Screening and functional analysis of differentially expressed genes in chronic glomerulonephritis by whole genome microarray.	Gene	Department of Pharmacy, The first affiliated hospital of Anhui university of Chinese medicine, 117 Meishan Road, Hefei, China. Electronic address: zyfygjr2006@163.com.	Netherlands
27203685	2016	Reactome from a WikiPathways Perspective.	PLoS computational biology	Department of Bioinformatics-BiGCaT, Maastricht University, Maastricht, The Netherlands.	United States
27198219	2016	The RING 2.0 web server for high quality residue interaction networks.	Nucleic acids research	Department of Biomedical Sciences, University of Padua, Padua 35121, Italy.	England
27193824	2016	Identification and Characterization of miRNAs in Chondrus crispus by High-Throughput Sequencing and Bioinformatics Analysis.	Scientific reports	School of Life Science, Shanxi University, Taiyuan 030006, China.	England
27184904	2016	Exploring mechanisms of Panax notoginseng saponins in treating coronary heart disease by integrating gene interaction network and functional enrichment analysis.	Chinese journal of integrative medicine	Department of Cardiology, Southern Branch of Guang'anmen Hospital, China Academy of Chinese Medical Sciences, Beijing, 102600, China.	China
27180817	2016	Global quantitative proteomics reveal up-regulation of endoplasmic reticulum stress response proteins upon depletion of eIF5A in HeLa cells.	Scientific reports	Molecular and Cellular Biochemistry Section, Oral and Pharyngeal Cancer Branch, National Institute of Dental and Craniofacial Research, National Institutes of Health, Bldg.30 Rm. 3A300, Bethesda, MD 20892, USA.	England
27169281	2016	[An exploration in the action targets for antidepressant bioactive components of Xiaoyaosan based on network pharmacology].	Yao xue xue bao = Acta pharmaceutica Sinica	NA	China
27153624	2016	DyNet: visualization and analysis of dynamic molecular interaction networks.	Bioinformatics (Oxford, England)	EMBL Australia Biomedical Informatics Group, Infection and Immunity Theme, South Australian Medical and Health Research Institute, North Terrace, Adelaide, South Australia 5000, Australia.	England
27153602	2016	Quantitative phosphoproteomics-based molecular network description for high-resolution kinase-substrate interactome analysis.	Bioinformatics (Oxford, England)	Medical Proteomics Laboratory, The Institute of Medical Science, The University of Tokyo, Minato-ku, Tokyo 108-8639, Japan.	England
27148389	2016	How Hepatitis C Virus Leads to Hepatocellular Carcinoma: A Network-Based Study.	Hepatitis monthly	Hepatitis B Molecular Laboratory, Department of Virology, School of Public Health, Tehran University of Medical Sciences, Tehran, IR Iran.	Iran
27131904	2016	Transcriptomic gene-network analysis of exposure to silver nanoparticle reveals potentially neurodegenerative progression in mouse brain neural cells.	Toxicology in vitro : an international journal published in association with BIBRA	Department of Biomedical Engineering and Environmental Sciences, National Tsing Hua University, 101, Section 2, Kuang-Fu Road, Hsinchu 30013, Taiwan.	England
27131791	2016	APID interactomes: providing proteome-based interactomes with controlled quality for multiple species and derived networks.	Nucleic acids research	Cancer Research Center (CiC-IBMCC, CSIC/USAL/IBSAL), Consejo Superior de Investigaciones Científicas (CSIC) and Universidad de Salamanca (USAL), 37007 Salamanca, Spain.	England
27123054	2016	Identification of potential therapeutic target genes and mechanisms in head and neck squamous cell carcinoma by bioinformatics analysis.	Oncology letters	Department of Plastic Surgery, Jinan Central Hospital Affiliated to Shandong University, Jinan, Shandong 250013, P.R. China.	Greece
27098040	2016	GAM: a web-service for integrated transcriptional and metabolic network analysis.	Nucleic acids research	Computer Technologies Department, ITMO University, Saint Petersburg, 197101, Russia Department of Pathology &amp; Immunology, Washington University in St. Louis, St.Louis, MO 63110, USA alsergbox@gmail.com.	England
27086506	2016	HiQuant: Rapid Postquantification Analysis of Large-Scale MS-Generated Proteomics Data.	Journal of proteome research	EMBL Australia Biomedical Informatics Group, Infection &amp; Immunity Theme, South Australian Health and Medical Research Institute , North Terrace, Adelaide, South Australia 5000, Australia.	United States
