pmid	year	title	journal	affiliation	country
26366822	2015	Critical Appraisal Skills Among Canadian Obstetrics and Gynaecology Residents: How Do They Fare?	Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	Department of Obstetrics and Gynecology and Newborn Care, The Ottawa Hospital, University of Ottawa, Ottawa ON.	Netherlands
26366821	2015	Experiencing Health Advocacy During Cervical Cancer Awareness Week: A National Initiative for Obstetrics and Gynaecology Residents.	Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	Department of Obstetrics and Gynecology, University of Ottawa, Ottawa ON.	Netherlands
26346754	2015	Frailty and physical function in chronic kidney disease: the CanFIT study.	Canadian journal of kidney health and disease	Seven Oaks Hospital, 2PD-13 2300 McPhillips Street, Winnipeg, Manitoba R2V 3M3 Canada.	England
26334607	2015	Guidelines for the Management of a Pregnant Trauma Patient.	Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	Edmonton AB.	Netherlands
26285614	2015	Developing renal allograft surveillance strategies - urinary biomarkers of cellular rejection.	Canadian journal of kidney health and disease	Clinic for Transplant Immunology and Nephrology, University Hospital Basel, Petersgraben 4, 4031 Basel, Switzerland.	England
26236496	2015	The impact and treatment of obesity in kidney transplant candidates and recipients.	Canadian journal of kidney health and disease	Département de Chirurgie, Université de Montréal and Service de Transplantation Rénale, Hôpital Maisonneuve-Rosemont, Montreal, Canada.	England
26236357	2015	Lyme disease: Knowledge and practices of family practitioners in southern Quebec.	The Canadian journal of infectious diseases &amp; medical microbiology = Journal canadien des maladies infectieuses et de la microbiologie medicale	Groupe de recherche en épidémiologie des zoonoses et santé publique, Faculté de médecine vétérinaire, Université de Montréal, St Hyacinthe; ; Direction des risques biologiques et de la santé au travail, Institut national de santé publique du Québec, Montréal;	Egypt
26229205	2015	Strategies to increase the demand for childhood vaccination in low- and middle-income countries: a systematic review and meta-analysis.	Bulletin of the World Health Organization	Centre de Recherche du Centre Hospitalier de l'Université de Montréal (CRCHUM), Tour Saint-Antoine, Porte S03-458, 850 rue St-Denis, Montréal, Québec, H2X 0A9, Canada .	Switzerland
26229200	2015	The healthy food environment policy index: findings of an expert panel in New Zealand.	Bulletin of the World Health Organization	University of Auckland, School of Population Health, Private Bag 92019, Auckland Mail Centre, 1142 Auckland, New Zealand .	Switzerland
26204364	2015	Reduced time to surgery improves mortality and length of stay following hip fracture: results from an intervention study in a Canadian health authority.	Canadian journal of surgery. Journal canadien de chirurgie	From the Centre For Healthcare Innovation, University of Manitoba and Winnipeg Regional Health Authority (Bohm, Wittmeier, Lix); the Concordia Hip and Knee Institute, Winnipeg Regional Health RESEARCH Can J Surg, Vol. 58, No. 4, August 2015 263 Authority (Bohm, Loucks); the Department of Surgery, University of Manitoba and Winnipeg Regional Health Authority (Bohm, Oppenheimer); the Department of Pediatrics and Child Health, University of Manitoba (Wittmeier); and the Department of Community Health Sciences, University of Manitoba (Bohm, Lix), Winnipeg, Man.	Canada
26168102	2015	Incidence of Tissue Morcellation During Surgery for Uterine Sarcoma at a Canadian Academic Centre.	Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	Department of Obstetrics and Gynaecology, University of Ottawa, Ottawa ON; The Ottawa Hospital Research Institute, Ottawa ON.	Netherlands
26168099	2015	Learning From Experience: Qualitative Analysis to Develop a Cognitive Task List for Kielland Forceps Deliveries.	Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	Department of Obstetrics and Gynaecology, University of Toronto, Toronto ON.	Netherlands
26145483	2015	Impact of Organizational Stability on Adoption of Quality-Improvement Interventions for Diabetes in Primary Care Settings.	Canadian journal of diabetes	Alliance of Canadian Health Outcomes Research in Diabetes, University of Alberta, Edmonton, Alberta, Canada.	Canada
26077524	2015	Predictive factors of death in patients with tuberculosis: a nested case-control study.	Eastern Mediterranean health journal = La revue de sante de la Mediterranee orientale = al-Majallah al-sihhiyah li-sharq al-mutawassit	Health Sciences Research Centre, School of Health, Mazandaran University of Medical Sciences, Sari, Islamic Republic of Iran.	Egypt
26077522	2015	Sociodemographic predictors of acceptance of voluntary HIV testing among pregnant women in a large maternity hospital, Omdurman, Sudan.	Eastern Mediterranean health journal = La revue de sante de la Mediterranee orientale = al-Majallah al-sihhiyah li-sharq al-mutawassit	Sudan National AIDS Programme, Khartoum, Sudan. Mutazidris55@gmail.com.	Egypt
26077519	2015	Designing a national combined reporting form for adverse drug reactions and medication errors.	Eastern Mediterranean health journal = La revue de sante de la Mediterranee orientale = al-Majallah al-sihhiyah li-sharq al-mutawassit	Medicines Authority, Gzira, Malta.	Egypt
26074222	2015	Managing Jordanian nurse migration to the Gulf Cooperation Council states.	Eastern Mediterranean health journal = La revue de sante de la Mediterranee orientale = al-Majallah al-sihhiyah li-sharq al-mutawassit	Faculty of Nursing, University of Mutah, Mutah, Jordan. alnawafleh@mutah.edu.jo.	Egypt
26074221	2015	Development of a conceptual model of the role of hospital nurses in health promotion in Jordan.	Eastern Mediterranean health journal = La revue de sante de la Mediterranee orientale = al-Majallah al-sihhiyah li-sharq al-mutawassit	Faculty of Nursing, Mutah University, Karak, Jordan. noorshoq@yahoo.com; noordeen@mutah.edu.jo.	Egypt
26022151	2015	Prognostic value of lymph node ratio in survival of patients with locally advanced rectal cancer.	Canadian journal of surgery. Journal canadien de chirurgie	The Department of Radiation Oncology, Renji Hospital, Shanghai Jiaotong University School of Medicine, Shanghai, China.	Canada
26015790	2015	Prevalence of antimicrobial use in a network of Canadian hospitals in 2002 and 2009.	The Canadian journal of infectious diseases &amp; medical microbiology = Journal canadien des maladies infectieuses et de la microbiologie medicale	University of Alberta Hospital, Edmonton, Alberta;	Egypt
26011853	2015	Treatment with acetylsalicylic acid prevents short to mid-term radiographic progression of nontraumatic osteonecrosis of the femoral head: a pilot study.	Canadian journal of surgery. Journal canadien de chirurgie	The Department of Surgery, Division of Orthopaedic Surgery, McGill University Health Centre, Montreal General Hospital, Montréal, Que.	Canada
26001873	2015	An integrated approach to male-factor subfertility: bridging the gap between fertility specialists trained in urology and gynaecology.	Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	ONE Fertility, Burlington ON; Department of Obstetrics and Gynecology, McMaster University, Hamilton ON.	Netherlands
26001870	2015	Medical students' intentions to seek abortion training and to provide abortion services in future practice.	Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	Schulich School of Medicine and Dentistry, Western University, London ON.	Netherlands
26001690	2015	Learning from experience: development of a cognitive task-list to assess the second stage of labour for operative delivery.	Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	Division of Maternal Fetal Medicine, Department of Obstetrics and Gynaecology, Mount Sinai Hospital, University of Toronto, Toronto ON; The Ritchie Centre, Monash Institute of Medical Research, Department of Obstetrics and Gynaecology, Monash University, Victoria, Australia.	Netherlands
26001689	2015	Competency-based medical education: the wave of the future.	Journal of obstetrics and gynaecology Canada : JOGC = Journal d'obstetrique et gynecologie du Canada : JOGC	Department of Obstetrics and Gynaecology, University of Toronto, Toronto ON; Department of Obstetrics and Gynecology, McMaster University, Hamilton ON; Department of Obstetrics and Gynaecology, Queens University, Kingston ON.	Netherlands
25987866	2015	A knowledge network for a dynamic taxonomy of psychiatric disease.	Dialogues in clinical neuroscience	Professor, Duke University, School of Medicine, Department of Psychiatry and Behavioral Sciences; Adjunct Professor, University of North Carolina at Chapel Hill, School of Medicine, Department of Psychiatry and Behavioral Sciences, North Carolina, USA; Dean, Duke NUS Graduate Medical School, Singapore.	France
25970804	2015	Knowledge to action for solving complex problems: insights from a review of nine international cases.	Health promotion and chronic disease prevention in Canada : research, policy and practice	Propel Centre for Population Health Impact, University of Waterloo, Waterloo, Ontario, Canada.	Canada
25969585	2015	Investigation of biosecurity risks associated with the feed delivery: A pilot study.	The Canadian veterinary journal = La revue veterinaire canadienne	Department of Population Medicine, Ontario Veterinary College, University of Guelph, 50 Stone Road, Guelph, Ontario N1G 2W1.	Canada
25964681	2015	Occupational exposure to chemotherapy of pharmacy personnel at a single centre.	The Canadian journal of hospital pharmacy	MBChB, FRACP, MPH, is a Pediatric Hematologist/ Oncologist at the Children's Hospital of Eastern Ontario; an Associate Professor with the Department of Pediatrics, University of Ottawa; and a Clinical Investigator with the Children's Hospital of Eastern Ontario Research Institute, Ottawa, Ontario.	Canada
25931655	2015	Physical therapy for an adult with chronic stroke after botulinum toxin injection for spasticity: a case report.	Physiotherapy Canada. Physiotherapie Canada	West Park Healthcare Centre ; Department of Physical Therapy.	Canada
25922688	2015	An education initiative modifies opinions of hemodialysis nurses towards home dialysis.	Canadian journal of kidney health and disease	Capital District Health Authority/QEII Renal Program, Halifax, Nova Scotia Canada.	England
